episode_nr,time,action,velocity,lane,car1_f_dz,car1_f_dv,car1_b_dz,car1_b_dv,car2_f_dz,car2_f_dv,car2_b_dz,car2_b_dv,car3_f_dz,car3_f_dv,car3_b_dz,car3_b_dv,traffic_flow,weather
1,0.1,1,93,2,0.917,0.614,-0.889,0.57,0.544,0.114,-0.482,-0.117,0.216,-0.129,-0.013,-0.327,3500,mist
1,0.2,1,95,2,0.921,0.57,-0.886,0.526,0.545,0.061,-0.483,-0.172,0.215,-0.184,-0.015,-0.383,3500,mist
1,0.3,1,96,2,0.924,0.537,-0.883,0.493,0.545,0.034,-0.484,-0.194,0.214,-0.207,-0.018,-0.398,3500,mist
1,0.4,1,98,2,0.926,0.503,-0.881,0.459,0.545,-0.003,-0.485,-0.236,0.213,-0.249,-0.02,-0.453,3500,mist
1,0.5,1,100,2,0.929,0.468,-0.878,0.424,0.545,-0.039,-0.487,-0.271,0.211,-0.283,-0.023,-0.471,3500,mist
1,0.6,1,101,2,0.932,0.432,-0.876,0.388,0.545,-0.075,-0.488,-0.308,0.21,-0.321,-0.025,-0.527,3500,mist
1,0.7,1,103,2,0.934,0.396,-0.874,0.352,0.544,-0.112,-0.49,-0.346,0.208,-0.358,-0.028,-0.546,3500,mist
1,0.8,1,105,2,0.936,0.359,-0.872,0.315,0.543,-0.15,-0.492,-0.384,0.206,-0.396,-0.032,-0.604,3500,mist
1,0.9,1,106,2,0.938,0.322,-0.871,0.277,0.542,-0.188,-0.494,-0.422,0.203,-0.435,-0.035,-0.623,3500,mist
1,1,1,108,2,0.94,0.286,-0.869,0.241,0.541,-0.224,-0.497,-0.459,0.201,-0.471,-0.039,-0.679,3500,mist
1,1.1,1,109,2,0.941,0.255,-0.868,0.21,0.54,-0.257,-0.499,-0.491,0.198,-0.504,-0.042,-0.693,3500,mist
1,1.2,1,111,2,0.942,0.227,-0.867,0.182,0.538,-0.285,-0.502,-0.52,0.195,-0.532,-0.046,-0.741,3500,mist
1,1.3,1,112,2,0.944,0.202,-0.866,0.157,0.537,-0.31,-0.505,-0.545,0.192,-0.558,-0.051,-0.747,3500,mist
1,1.4,1,113,2,0.945,0.18,-0.865,0.135,0.535,-0.332,-0.508,-0.567,0.189,-0.58,-0.055,-0.788,3500,mist
1,1.5,1,113,2,0.946,0.161,-0.864,0.116,0.533,-0.352,-0.511,-0.587,0.186,-0.6,-0.059,-0.789,3500,mist
1,1.6,1,114,2,0.946,0.144,-0.864,0.099,0.531,-0.369,-0.515,-0.604,0.182,-0.617,-0.064,-0.826,3500,mist
1,1.7,1,115,2,0.947,0.129,-0.863,0.084,0.529,-0.385,-0.518,-0.62,0.179,-0.633,-0.068,-0.822,3500,mist
1,1.8,1,115,2,0.948,0.116,-0.863,0.071,0.527,-0.398,-0.522,-0.633,0.175,-0.646,-0.073,-0.855,3500,mist
1,1.9,1,116,2,0.948,0.104,-0.863,0.059,0.524,-0.41,-0.525,-0.645,0.172,-0.658,-0.078,-0.848,3500,mist
1,2,1,116,2,0.949,0.094,-0.862,0.049,0.522,-0.421,-0.529,-0.656,0.168,-0.669,-0.083,-0.878,3500,mist
1,2.1,1,117,2,0.949,0.085,-0.862,0.04,0.52,-0.43,-0.533,-0.665,0.164,-0.678,-0.087,-0.868,3500,mist
1,2.2,1,117,2,0.95,0.076,-0.862,0.031,0.517,-0.438,-0.536,-0.674,0.16,-0.686,-0.092,-0.896,3500,mist
1,2.3,1,117,2,0.95,0.069,-0.862,0.024,0.515,-0.445,-0.54,-0.681,0.157,-0.694,-0.097,-0.884,3500,mist
1,2.4,1,118,2,0.951,0.063,-0.862,0.018,0.512,-0.452,-0.544,-0.687,0.153,-0.7,-0.102,-0.909,3500,mist
1,2.5,1,118,2,0.951,0.057,-0.862,0.012,0.51,-0.458,-0.548,-0.693,0.149,-0.706,-0.107,-0.896,3500,mist
1,2.6,1,118,2,0.951,0.053,-0.861,0.008,0.507,-0.463,-0.552,-0.698,0.145,-0.711,-0.112,-0.92,3500,mist
1,2.7,1,118,2,0.952,0.048,-0.861,0.003,0.505,-0.467,-0.555,-0.703,0.141,-0.715,-0.117,-0.906,3500,mist
1,2.8,1,119,2,0.952,0.044,-0.861,-0.001,0.502,-0.471,-0.559,-0.707,0.137,-0.719,-0.122,-0.929,3500,mist
1,2.9,1,119,2,0.952,0.041,-0.861,-0.004,0.499,-0.474,-0.563,-0.71,0.133,-0.723,-0.128,-0.913,3500,mist
1,3,1,119,2,0.952,0.038,-0.862,-0.007,0.497,-0.477,-0.567,-0.713,0.129,-0.726,-0.133,-0.935,3500,mist
1,3.1,1,119,2,0.952,0.035,-0.862,-0.01,0.494,-0.48,-0.571,-0.716,0.125,-0.728,-0.138,-0.919,3500,mist
1,3.2,1,119,2,0.953,0.033,-0.862,-0.012,0.492,-0.483,-0.575,-0.718,0.121,-0.731,-0.143,-0.94,3500,mist
1,3.3,1,119,2,0.953,0.031,-0.862,-0.014,0.489,-0.485,-0.579,-0.72,0.117,-0.733,-0.148,-0.924,3500,mist
1,3.4,1,119,2,0.953,0.029,-0.862,-0.016,0.486,-0.486,-0.583,-0.722,0.113,-0.735,-0.153,-0.944,3500,mist
1,3.5,1,119,2,0.953,0.028,-0.862,-0.018,0.483,-0.488,-0.587,-0.724,0.108,-0.736,-0.159,-0.927,3500,mist
1,3.6,1,119,2,0.953,0.026,-0.862,-0.019,0.481,-0.49,-0.591,-0.725,0.104,-0.738,-0.164,-0.948,3500,mist
1,3.7,1,119,2,0.953,0.025,-0.862,-0.02,0.478,-0.491,-0.595,-0.726,0.1,-0.739,-0.169,-0.93,3500,mist
1,3.8,1,119,2,0.954,0.024,-0.862,-0.021,0.475,-0.492,-0.599,-0.728,0.096,-0.74,-0.174,-0.95,3500,mist
1,3.9,1,119,2,0.954,0.023,-0.862,-0.022,0.473,-0.493,-0.603,-0.729,0.092,-0.741,-0.18,-0.932,3500,mist
1,4,1,120,2,0.954,0.022,-0.862,-0.023,0.47,-0.494,-0.607,-0.729,0.088,-0.742,-0.185,-0.952,3500,mist
1,4.1,1,120,2,0.954,0.021,-0.863,-0.024,0.467,-0.495,-0.611,-0.73,0.084,-0.743,-0.19,-0.934,3500,mist
1,4.2,1,120,2,0.954,0.021,-0.863,-0.025,0.464,-0.495,-0.616,-0.731,0.08,-0.744,-0.195,-0.953,3500,mist
1,4.3,1,120,2,0.954,0.02,-0.863,-0.025,0.462,-0.496,-0.62,-0.732,0.076,-0.744,-0.2,-0.935,3500,mist
1,4.4,1,120,2,0.954,0.019,-0.863,-0.026,0.459,-0.496,-0.624,-0.732,0.071,-0.745,-0.206,-0.955,3500,mist
1,4.5,1,120,2,0.954,0.019,-0.863,-0.026,0.456,-0.497,-0.628,-0.733,0.067,-0.745,-0.211,-0.936,3500,mist
1,4.6,1,120,2,0.955,0.019,-0.863,-0.027,0.453,-0.497,-0.632,-0.733,0.063,-0.746,-0.216,-0.955,3500,mist
1,4.7,1,120,2,0.955,0.018,-0.863,-0.027,0.45,-0.498,-0.636,-0.733,0.059,-0.746,-0.221,-0.937,3500,mist
1,4.8,1,120,2,0.955,0.018,-0.864,-0.027,0.448,-0.498,-0.64,-0.734,0.055,-0.746,-0.227,-0.956,3500,mist
1,4.9,1,120,2,0.955,0.018,-0.864,-0.027,0.445,-0.498,-0.644,-0.734,0.051,-0.747,-0.232,-0.938,3500,mist
1,5,1,120,2,0.955,0.017,-0.864,-0.028,0.442,-0.499,-0.648,-0.734,0.047,-0.747,-0.237,-0.957,3500,mist
1,5.1,1,120,2,0.955,0.017,-0.864,-0.028,0.439,-0.499,-0.652,-0.734,0.042,-0.747,-0.243,-0.938,3500,mist
1,5.2,1,120,2,0.955,0.017,-0.864,-0.028,0.437,-0.499,-0.656,-0.735,0.038,-0.747,-0.248,-0.957,3500,mist
1,5.3,1,120,2,0.955,0.017,-0.864,-0.028,0.434,-0.499,-0.66,-0.735,0.034,-0.748,-0.253,-0.938,3500,mist
1,5.4,1,120,2,0.955,0.017,-0.865,-0.028,0.431,-0.499,-0.664,-0.735,0.03,-0.748,-0.258,-0.957,3500,mist
1,5.5,1,120,2,0.955,0.017,-0.865,-0.029,0.428,-0.499,-0.669,-0.735,0.026,-0.748,-0.264,-0.939,3500,mist
1,5.6,1,120,2,0.955,0.016,-0.865,-0.029,0.426,-0.5,-0.673,-0.735,0.022,-0.748,-0.269,-0.958,3500,mist
1,5.7,1,120,2,0.956,0.016,-0.865,-0.029,0.423,-0.5,-0.677,-0.735,0.017,-0.748,-0.274,-0.939,3500,mist
1,5.8,1,120,2,0.956,0.016,-0.865,-0.029,0.42,-0.5,-0.681,-0.735,0.013,-0.748,-0.279,-0.958,3500,mist
1,5.9,1,120,2,0.956,0.016,-0.865,-0.029,0.417,-0.5,-0.685,-0.735,0.009,-0.748,-0.285,-0.939,3500,mist
1,6,1,120,2,0.956,0.016,-0.865,-0.029,0.414,-0.5,-0.689,-0.736,0.005,-0.748,-0.29,-0.958,3500,mist
1,6.1,1,120,2,0.956,0.016,-0.866,-0.029,0.412,-0.5,-0.693,-0.736,0.001,-0.749,-0.295,-0.939,3500,mist
1,6.2,1,120,2,0.956,0.016,-0.866,-0.029,0.409,-0.5,-0.697,-0.736,0.199,-1,-0.003,-0.749,3500,mist
