episode_nr,time,action,velocity,lane,car1_f_dz,car1_f_dv,car1_b_dz,car1_b_dv,car2_f_dz,car2_f_dv,car2_b_dz,car2_b_dv,car3_f_dz,car3_f_dv,car3_b_dz,car3_b_dv,traffic_flow,weather
1,0.1,0,101,2,1,0,-0.173,0.327,0.514,0.266,-0.467,0.365,0.186,-0.205,-0.519,-0.181,2500,sunset
1,0.2,1,103,2,1,0,-0.171,0.286,0.515,0.22,-0.465,0.32,0.184,-0.258,-0.52,-0.233,2500,sunset
1,0.3,1,104,2,1,0,-0.17,0.253,0.516,0.187,-0.464,0.287,0.183,-0.281,-0.521,-0.257,2500,sunset
1,0.4,1,106,2,1,0,-0.169,0.219,0.517,0.153,-0.462,0.253,0.181,-0.32,-0.523,-0.296,2500,sunset
1,0.5,1,108,2,1,0,-0.168,0.185,0.518,0.119,-0.461,0.22,0.179,-0.354,-0.524,-0.33,2500,sunset
1,0.6,1,109,2,1,0,-0.167,0.155,0.519,0.089,-0.46,0.19,0.177,-0.385,-0.526,-0.361,2500,sunset
1,0.7,1,110,2,1,0,-0.166,0.129,0.519,0.063,-0.459,0.164,0.175,-0.413,-0.528,-0.389,2500,sunset
1,0.8,1,111,2,1,0,-0.165,0.106,0.519,0.04,-0.458,0.14,0.173,-0.437,-0.531,-0.413,2500,sunset
1,0.9,1,112,2,1,0,-0.165,0.085,0.519,0.019,-0.457,0.12,0.17,-0.458,-0.533,-0.434,2500,sunset
1,1,1,113,2,1,0,-0.164,0.067,0.52,0.001,-0.457,0.102,0.168,-0.477,-0.535,-0.453,2500,sunset
1,1.1,1,114,2,1,0,-0.164,0.051,0.519,-0.016,-0.456,0.086,0.165,-0.494,-0.538,-0.47,2500,sunset
1,1.2,1,115,2,1,0,-0.164,0.037,0.519,-0.03,-0.456,0.071,0.162,-0.509,-0.541,-0.484,2500,sunset
1,1.3,1,115,2,1,0,-0.164,0.024,0.519,-0.043,-0.455,0.059,0.159,-0.522,-0.543,-0.497,2500,sunset
1,1.4,1,116,2,1,0,-0.163,0.013,0.519,-0.054,-0.455,0.048,0.156,-0.533,-0.546,-0.509,2500,sunset
1,1.5,1,116,2,1,0,-0.163,0.003,0.519,-0.064,-0.455,0.038,0.153,-0.543,-0.549,-0.519,2500,sunset
1,1.6,1,117,2,1,0,-0.163,-0.005,0.518,-0.072,-0.455,0.029,0.15,-0.552,-0.552,-0.528,2500,sunset
1,1.7,1,117,2,1,0,-0.163,-0.013,0.518,-0.08,-0.455,0.021,0.147,-0.56,-0.555,-0.536,2500,sunset
1,1.8,1,117,2,1,0,-0.164,-0.02,0.517,-0.087,-0.455,0.015,0.144,-0.567,-0.558,-0.543,2500,sunset
1,1.9,1,118,2,1,0,-0.164,-0.026,0.517,-0.093,-0.454,0.009,0.141,-0.574,-0.561,-0.549,2500,sunset
1,2,1,118,2,1,0,-0.164,-0.031,0.516,-0.098,-0.454,0.003,0.138,-0.579,-0.564,-0.555,2500,sunset
1,2.1,1,118,2,1,0,-0.164,-0.036,0.516,-0.103,-0.454,-0.001,0.134,-0.584,-0.567,-0.56,2500,sunset
1,2.2,1,118,2,1,0,-0.164,-0.04,0.515,-0.107,-0.454,-0.006,0.131,-0.588,-0.57,-0.564,2500,sunset
1,2.3,1,119,2,1,0,-0.164,-0.044,0.514,-0.111,-0.454,-0.009,0.128,-0.592,-0.573,-0.568,2500,sunset
1,2.4,1,119,2,1,0,-0.165,-0.047,0.514,-0.114,-0.455,-0.013,0.125,-0.595,-0.577,-0.571,2500,sunset
1,2.5,1,119,2,1,0,-0.165,-0.05,0.513,-0.117,-0.455,-0.015,0.121,-0.598,-0.58,-0.574,2500,sunset
1,2.6,1,119,2,1,0,-0.165,-0.052,0.513,-0.12,-0.455,-0.018,0.118,-0.601,-0.583,-0.577,2500,sunset
1,2.7,1,119,2,1,0,-0.166,-0.054,0.512,-0.122,-0.455,-0.02,0.115,-0.603,-0.586,-0.579,2500,sunset
1,2.8,1,119,2,1,0,-0.166,-0.056,0.511,-0.124,-0.455,-0.022,0.111,-0.605,-0.589,-0.581,2500,sunset
1,2.9,1,119,2,1,0,-0.166,-0.058,0.511,-0.126,-0.455,-0.024,0.108,-0.607,-0.593,-0.583,2500,sunset
1,3,1,119,2,1,0,-0.167,-0.06,0.51,-0.127,-0.455,-0.025,0.104,-0.609,-0.596,-0.584,2500,sunset
1,3.1,1,119,2,1,0,-0.167,-0.061,0.509,-0.129,-0.455,-0.027,0.101,-0.61,-0.599,-0.586,2500,sunset
1,3.2,1,119,2,1,0,-0.167,-0.062,0.508,-0.13,-0.456,-0.028,0.098,-0.611,-0.602,-0.587,2500,sunset
1,3.3,1,119,2,1,0,-0.168,-0.063,0.508,-0.131,-0.456,-0.029,0.094,-0.613,-0.606,-0.588,2500,sunset
1,3.4,1,119,2,1,0,-0.168,-0.064,0.507,-0.132,-0.456,-0.03,0.091,-0.613,-0.609,-0.589,2500,sunset
1,3.5,1,120,2,1,0,-0.168,-0.065,0.506,-0.133,-0.456,-0.031,0.087,-0.614,-0.612,-0.59,2500,sunset
