episode_nr,time,action,velocity,lane,car1_f_dz,car1_f_dv,car1_b_dz,car1_b_dv,car2_f_dz,car2_f_dv,car2_b_dz,car2_b_dv,car3_f_dz,car3_f_dv,car3_b_dz,car3_b_dv,traffic_flow,weather
1,0.1,1,103,2,0.741,0.384,-1,0,0.405,0.1,-0.448,0.277,0.402,-0.095,-0.031,-0.05,2500,sunset
1,0.2,2,104,2,0.743,0.342,-1,0,0.405,0.054,-0.446,0.232,0.401,-0.144,-0.032,-0.095,2500,sunset
1,0.3,2,106,2,0.744,0.309,-1,0,0.405,0.021,-0.445,0.199,0.401,-0.172,-0.032,-0.126,2500,sunset
1,0.4,2,108,2,0.746,0.276,-1,0,0.405,-0.013,-0.444,0.165,0.399,-0.208,-0.033,-0.161,2500,sunset
1,0.5,2,109,2,0.747,0.246,-1,0,0.405,-0.043,-0.443,0.135,0.398,-0.239,-0.034,-0.192,2500,sunset
1,0.6,2,110,2,0.748,0.219,-1,0,0.404,-0.07,-0.443,0.108,0.397,-0.266,-0.035,-0.219,2500,sunset
1,0.7,2,111,2,0.75,0.196,-1,0,0.404,-0.094,-0.442,0.085,0.395,-0.29,-0.037,-0.243,2500,sunset
1,0.8,2,112,2,0.751,0.176,-1,0,0.403,-0.115,-0.442,0.065,0.393,-0.311,-0.038,-0.264,2500,sunset
1,0.9,2,113,2,0.752,0.159,-1,0,0.403,-0.133,-0.442,0.047,0.392,-0.33,-0.04,-0.282,2500,sunset
1,1,2,114,2,0.752,0.143,-1,0,0.402,-0.148,-0.441,0.031,0.39,-0.346,-0.041,-0.298,2500,sunset
1,1.1,2,114,2,0.753,0.129,-1,0,0.401,-0.163,-0.441,0.017,0.388,-0.36,-0.043,-0.313,2500,sunset
1,1.2,2,115,2,0.754,0.117,-1,0,0.4,-0.176,-0.441,0.004,0.386,-0.373,-0.045,-0.326,2500,sunset
1,1.3,2,116,2,0.754,0.105,-1,0,0.399,-0.187,-0.441,-0.007,0.384,-0.385,-0.047,-0.338,2500,sunset
1,1.4,2,116,2,0.755,0.095,-1,0,0.398,-0.198,-0.441,-0.018,0.381,-0.396,-0.049,-0.348,2500,sunset
1,1.5,2,117,2,0.756,0.086,-1,0,0.397,-0.207,-0.441,-0.027,0.379,-0.406,-0.05,-0.358,2500,sunset
1,1.6,2,117,3,0.756,0.077,-1,0,0.396,-0.216,-0.441,-0.035,0.377,-0.414,-0.052,-0.372,2500,sunset
1,1.7,2,117,3,0.757,0.07,-1,0,0.395,-0.223,-0.442,-0.043,0.375,-0.422,-0.055,-0.403,2500,sunset
1,1.8,2,118,3,0.757,0.064,-1,0,0.393,-0.23,-0.442,-0.049,0.372,-0.428,-0.057,-0.432,2500,sunset
1,1.9,2,118,3,0.757,0.059,-1,0,0.392,-0.235,-0.442,-0.054,0.37,-0.433,-0.059,-0.459,2500,sunset
1,2,2,118,3,0.758,0.055,-1,0,0.391,-0.239,-0.442,-0.058,0.368,-0.437,-0.062,-0.483,2500,sunset
1,2.1,2,118,3,0.758,0.052,-1,0,0.39,-0.242,-0.443,-0.062,0.365,-0.441,-0.065,-0.504,2500,sunset
1,2.2,2,118,3,0.758,0.049,-1,0,0.388,-0.245,-0.443,-0.064,0.363,-0.444,-0.068,-0.524,2500,sunset
1,2.3,2,118,3,0.759,0.046,-1,0,0.387,-0.248,-0.443,-0.067,0.36,-0.447,-0.071,-0.541,2500,sunset
1,2.4,1,119,3,0.759,0.044,-1,0,0.386,-0.251,-0.444,-0.07,0.358,-0.45,-0.074,-0.558,2500,sunset
1,2.5,1,119,3,0.759,0.041,-1,0,0.384,-0.254,-0.444,-0.073,0.355,-0.453,-0.077,-0.573,2500,sunset
1,2.6,1,119,3,0.759,0.038,-1,0,0.383,-0.257,-0.444,-0.076,0.353,-0.456,-0.08,-0.586,2500,sunset
1,2.7,1,119,3,0.759,0.035,-1,0,0.381,-0.26,-0.445,-0.078,0.35,-0.458,-0.083,-0.599,2500,sunset
1,2.8,1,119,3,0.76,0.033,-1,0,0.38,-0.262,-0.445,-0.081,0.348,-0.461,-0.087,-0.609,2500,sunset
1,2.9,1,119,3,0.76,0.031,-1,0,0.378,-0.264,-0.446,-0.083,0.345,-0.463,-0.09,-0.619,2500,sunset
1,3,1,119,3,0.76,0.029,-1,0,0.377,-0.266,-0.446,-0.085,0.343,-0.465,-0.094,-0.626,2500,sunset
1,3.1,1,119,3,0.76,0.028,-1,0,0.375,-0.267,-0.447,-0.086,0.34,-0.466,-0.097,-0.633,2500,sunset
1,3.2,1,119,3,0.76,0.026,-1,0,0.374,-0.269,-0.447,-0.088,0.337,-0.468,-0.101,-0.638,2500,sunset
1,3.3,1,119,3,0.76,0.025,-1,0,0.372,-0.27,-0.448,-0.089,0.335,-0.469,-0.104,-0.642,2500,sunset
1,3.4,1,119,3,0.761,0.024,-1,0,0.371,-0.271,-0.448,-0.09,0.332,-0.47,-0.108,-0.645,2500,sunset
1,3.5,1,119,3,0.761,0.023,-1,0,0.369,-0.272,-0.449,-0.091,0.33,-0.471,-0.111,-0.647,2500,sunset
1,3.6,1,120,3,0.761,0.022,-1,0,0.368,-0.273,-0.449,-0.092,0.327,-0.472,-0.115,-0.648,2500,sunset
1,3.7,1,120,3,0.761,0.022,-1,0,0.366,-0.274,-0.45,-0.092,0.324,-0.472,-0.119,-0.647,2500,sunset
1,3.8,1,120,3,0.761,0.021,-1,0,0.365,-0.274,-0.45,-0.093,0.322,-0.473,-0.122,-0.646,2500,sunset
1,3.9,1,120,3,0.761,0.02,-1,0,0.363,-0.275,-0.451,-0.094,0.319,-0.474,-0.126,-0.645,2500,sunset
1,4,1,120,3,0.761,0.02,-1,0,0.362,-0.275,-0.451,-0.094,0.316,-0.474,-0.129,-0.642,2500,sunset
1,4.1,1,120,3,0.761,0.019,-1,0,0.36,-0.276,-0.452,-0.095,0.314,-0.475,-0.133,-0.639,2500,sunset
1,4.2,1,120,3,0.762,0.019,-1,0,0.359,-0.276,-0.452,-0.095,0.311,-0.475,-0.136,-0.634,2500,sunset
1,4.3,1,120,3,0.762,0.019,-1,0,0.357,-0.276,-0.453,-0.095,0.309,-0.475,-0.14,-0.63,2500,sunset
1,4.4,1,120,3,0.762,0.018,-1,0,0.356,-0.277,-0.453,-0.096,0.306,-0.476,-0.143,-0.624,2500,sunset
1,4.5,1,120,3,0.762,0.018,-1,0,0.354,-0.277,-0.454,-0.096,0.303,-0.476,-0.147,-0.618,2500,sunset
1,4.6,1,120,3,0.762,0.018,-1,0,0.353,-0.277,-0.454,-0.096,0.301,-0.476,-0.15,-0.612,2500,sunset
1,4.7,1,120,3,0.762,0.018,-1,0,0.351,-0.278,-0.455,-0.096,0.298,-0.476,-0.154,-0.605,2500,sunset
1,4.8,1,120,3,0.762,0.017,-1,0,0.349,-0.278,-0.456,-0.097,0.295,-0.477,-0.157,-0.598,2500,sunset
1,4.9,1,120,3,0.762,0.017,-1,0,0.348,-0.278,-0.456,-0.097,0.293,-0.477,-0.16,-0.59,2500,sunset
1,5,1,120,3,0.762,0.017,-1,0,0.346,-0.278,-0.457,-0.097,0.29,-0.477,-0.163,-0.582,2500,sunset
1,5.1,1,120,3,0.762,0.017,-1,0,0.345,-0.278,-0.457,-0.097,0.287,-0.477,-0.167,-0.574,2500,sunset
1,5.2,1,120,3,0.762,0.017,-1,0,0.343,-0.278,-0.458,-0.097,0.285,-0.477,-0.17,-0.565,2500,sunset
1,5.3,1,120,3,0.763,0.017,-1,0,0.342,-0.278,-0.458,-0.097,0.282,-0.477,-0.173,-0.556,2500,sunset
